iter	Passed	Remaining
1581	293901	634991
1582	294081	634793
1583	294265	634602
1584	294444	634402
1585	294616	634187
1586	294796	633988
1587	294973	633784
1588	295150	633580
1589	295331	633383
1590	295512	633188
1591	295685	632975
1592	295866	632778
1593	296038	632564
1594	296222	632374
1595	296399	632171
1596	296587	631990
1597	296763	631782
1598	296943	631584
1599	297115	631370
1600	297300	631184
1601	297474	630972
1602	297653	630772
1603	297828	630563
1604	298011	630373
1605	298186	630164
1606	298372	629980
1607	298544	629765
1608	298723	629565
1609	298897	629355
1610	299076	629156
1611	299258	628963
1612	299441	628771
1613	299662	628659
1614	299881	628544
1615	300065	628355
1616	300248	628163
1617	300422	627952
1618	300602	627756
1619	300774	627541
1620	300956	627349
1621	301132	627142
1622	301313	626946
1623	301488	626739
1624	301668	626541
1625	301848	626343
